user_name,date,text,sentiment,category,recommendation
,2022-07-12 17:31:37+00:00,neuvle slow makes error many people access website newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. neuvle slow makes error many people access website newerauniversityonlineservice learningplatform
,2022-07-12 17:22:30+00:00,fastest online service still see conveniently useful considering im staying provin,negative,general,fastest online service still see conveniently useful considering im staying provin
,2022-07-12 18:43:03+00:00,accessible organize really helps easily identify manage tasks things,negative,general,accessible organize really helps easily identify manage tasks things
,2022-07-12 17:22:06+00:00,system cannot handle students use vle simultaneously especially examinations quizzes wil,negative,LearningPlatform,Improvements can be made in the Learning Platform. system cannot handle students use vle simultaneously especially examinations quizzes wil
,2022-07-12 17:17:41+00:00,say doesnt consistency professors formats managing subjects,negative,general,say doesnt consistency professors formats managing subjects
,2022-07-12 17:18:24+00:00,sometimes buggy newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. sometimes buggy newerauniversityonlineservice learningplatform
Kulotissima,2023-02-18 03:53:16+00:00,ancalerts sana may nagboo man lang tawagin yan na sinungaling taena naman new era university,negative,general,ancalerts sana may nagboo man lang tawagin yan na sinungaling taena naman new era university
Mac,2023-02-18 02:38:09+00:00,rt ancalerts chinese amb huang xilian guest honor new era university formal launching china studies center says dee,negative,general,rt ancalerts chinese amb huang xilian guest honor new era university formal launching china studies center says dee
Micheal Soriano,2023-02-17 14:02:45+00:00,rt ancalerts chinese amb huang xilian guest honor new era university formal launching china studies center says dee,negative,general,rt ancalerts chinese amb huang xilian guest honor new era university formal launching china studies center says dee
15circles/theuniverse,2023-02-17 13:57:25+00:00,rt ancalerts chinese amb huang xilian guest honor new era university formal launching china studies center says dee,negative,general,rt ancalerts chinese amb huang xilian guest honor new era university formal launching china studies center says dee
Mark Steven Balili,2023-02-17 11:22:57+00:00,rt ancalerts chinese amb huang xilian guest honor new era university formal launching china studies center says dee,negative,general,rt ancalerts chinese amb huang xilian guest honor new era university formal launching china studies center says dee
,2022-07-12 17:18:40+00:00,sometimes slow lacking confirming operations processing payment progress indication,negative,general,sometimes slow lacking confirming operations processing payment progress indication
"NewsFreedom,🇺🇦🇨🇳🇸🇾🇮🇷",2023-02-17 08:23:31+00:00,rt ancalerts chinese amb huang xilian guest honor new era university formal launching china studies center says dee,negative,general,rt ancalerts chinese amb huang xilian guest honor new era university formal launching china studies center says dee
ABS-CBN News Channel,2023-02-17 08:21:54+00:00,chinese amb huang xilian guest honor new era university formal launching china studies center says,negative,general,chinese amb huang xilian guest honor new era university formal launching china studies center says
Jaz Veilor,2023-02-17 07:28:27+00:00,rt willardcheng chinese amb huang xilian guest honor new era university formal launching china studies center says,negative,general,rt willardcheng chinese amb huang xilian guest honor new era university formal launching china studies center says
ABS-CBN News,2023-02-17 07:22:08+00:00,rt willardcheng chinese amb huang xilian guest honor new era university formal launching china studies center says,negative,general,rt willardcheng chinese amb huang xilian guest honor new era university formal launching china studies center says
Willard Cheng,2023-02-17 07:18:04+00:00,chinese amb huang xilian guest honor new era university formal launching china studies center says h,negative,general,chinese amb huang xilian guest honor new era university formal launching china studies center says h
,2022-07-12 18:17:13+00:00,slow quite responsive address concern answer directly newerauniversityonlineservice registrar,negative,registrar,Improvements can be made in the registrar service. slow quite responsive address concern answer directly newerauniversityonlineservice registrar
,2022-07-12 18:19:20+00:00,slow processing newerauniversityonlineservice registrar,negative,registrar,Improvements can be made in the registrar service. slow processing newerauniversityonlineservice registrar
,2022-07-12 17:20:54+00:00,handy newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. handy newerauniversityonlineservice learningplatform
Alexander,2023-02-17 06:26:12+00:00,rt tristannodalo thread chinese ambassador huang xilian formal launch china studies center new era university,negative,general,rt tristannodalo thread chinese ambassador huang xilian formal launch china studies center new era university
CNN Philippines,2023-02-17 06:23:59+00:00,rt tristannodalo thread chinese ambassador huang xilian formal launch china studies center new era university,negative,general,rt tristannodalo thread chinese ambassador huang xilian formal launch china studies center new era university
,2022-07-12 17:21:06+00:00,neu registrars online services simple use easy approach newerauniversityonlineservice registrar,negative,registrar,Improvements can be made in the registrar service. neu registrars online services simple use easy approach newerauniversityonlineservice registrar
,2022-07-12 17:21:19+00:00,online cashier takes long time give receipt newerauniversityonlineservice cashier,negative,cashier,Improvements can be made in the cashier service. online cashier takes long time give receipt newerauniversityonlineservice cashier
Tristan Nodalo,2023-02-17 06:13:16+00:00,thread chinese ambassador huang xilian formal launch china studies center new era univer,negative,general,thread chinese ambassador huang xilian formal launch china studies center new era univer
@jcAlcantara🇮🇹,2023-02-16 10:42:51+00:00,net25tv mandarin shout sa new era university waiting lang ako mandarin class,negative,general,net25tv mandarin shout sa new era university waiting lang ako mandarin class
,2022-07-12 18:45:24+00:00,standards needs met newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. standards needs met newerauniversityonlineservice learningplatform
,2022-07-12 18:44:58+00:00,neuvle organized sometimes neuvle trouble exam newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. neuvle organized sometimes neuvle trouble exam newerauniversityonlineservice learningplatform
,2022-07-12 18:19:35+00:00,overall satisfied newerauniversityonlineservice registrar,negative,registrar,Improvements can be made in the registrar service. overall satisfied newerauniversityonlineservice registrar
,2022-07-12 18:20:07+00:00,process fast newerauniversityonlineservice registrar,negative,registrar,Improvements can be made in the registrar service. process fast newerauniversityonlineservice registrar
,2022-07-12 17:21:55+00:00,payment procedure concerns take lengthy time neus online services query addresse,negative,general,payment procedure concerns take lengthy time neus online services query addresse
,2022-07-12 18:21:13+00:00,take respond really helpful newerauniversityonlineservice registrar,negative,registrar,Improvements can be made in the registrar service. take respond really helpful newerauniversityonlineservice registrar
,2022-07-12 17:37:20+00:00,hope easier way contacting aside form email newerauniversityonlineservice registrar,negative,registrar,Improvements can be made in the registrar service. hope easier way contacting aside form email newerauniversityonlineservice registrar
,2022-07-12 17:28:51+00:00,example certain examination schedule set specific date sometimes crashes think,neutral,LearningPlatform,No recommendation
,2022-07-12 17:34:27+00:00,give decent time transaction done never encountered errors payments overall n,neutral,general,No recommendation
,2022-07-12 17:31:16+00:00,responsive emails also takes long time get necessary school requirements,neutral,registrar,No recommendation
,2022-07-12 17:21:40+00:00,registrars online services become strict especially obtaining document provide requirem,neutral,registrar,No recommendation
,2022-07-12 17:21:30+00:00,neuvle perfect platform online learning newerauniversityonlineservice learningplatform,neutral,LearningPlatform,No recommendation
,2022-07-12 17:20:13+00:00,many redirects links pages instead opening course expecting content presented,neutral,general,No recommendation
,2022-07-12 17:18:54+00:00,efficient although comments registrar apply newerauniversityonlineservice cashier,neutral,cashier,No recommendation
,2022-07-12 17:36:30+00:00,learning content modules video tutorials answer exams quizzes fast reliable lot,neutral,LearningPlatform,No recommendation
,2022-07-12 18:17:51+00:00,havent experience lot transactions neus registrar online release grades,neutral,registrar,No recommendation
IA,2023-04-09 12:43:02+00:00,central market new era university art artcommission,neutral,general,No recommendation
,2022-07-12 18:19:08+00:00,processing documentation took long time expensive newerauniversityonlineservice registrar,neutral,registrar,No recommendation
Hawa Yaakub 🇲🇾,2023-02-20 12:32:41+00:00,rt dominiclauhc semalam saya telah dijemput ke perhimpunan tahun baru cina di ng ah choo multipurpose hall new era university college k,neutral,general,No recommendation
Dr. Dominic Lau 刘华才 🇲🇾,2023-02-20 08:22:07+00:00,semalam saya telah dijemput ke perhimpunan tahun baru cina di ng ah choo multipurpose hall new era university coll,neutral,general,No recommendation
Skarro,2023-02-17 11:08:22+00:00,willardcheng new era university really give platform appeal chinas position ha direct,neutral,general,No recommendation
News5,2023-02-17 06:38:20+00:00,rt daveabuel_ happening launching china studies center new era university attedees event include ambassador chi,neutral,general,No recommendation
CNN Philippines,2023-02-17 06:28:43+00:00,rt tristannodalo intl security expert chairman new era university chinese studies center rommel banlaoi delivers speech,neutral,general,No recommendation
Tristan Nodalo,2023-02-17 06:19:07+00:00,intl security expert chairman new era university chinese studies center rommel banlaoi delivers spe,neutral,general,No recommendation
Dave Abuel,2023-02-17 06:14:24+00:00,happening launching china studies center new era university attedees event include ambassado,neutral,general,No recommendation
,2022-07-12 18:44:19+00:00,modules could found vle professor could manage properly,neutral,general,No recommendation
,2022-07-12 18:44:04+00:00,hopefully fix especially finals week one problems students g,neutral,general,No recommendation
,2022-07-12 18:18:08+00:00,takes long time process newerauniversityonlineservice registrar,neutral,registrar,No recommendation
,2022-07-12 18:38:54+00:00,useful newerauniversityonlineservice learningplatform,neutral,LearningPlatform,No recommendation
,2022-07-12 18:37:10+00:00,one day sister paid tuition didnt receive confirmation regarding payment neu,neutral,general,No recommendation
,2022-07-12 18:29:34+00:00,really dont much complain newerauniversityonlineservice cashier,neutral,cashier,No recommendation
,2022-07-12 18:20:23+00:00,many process pages fill newerauniversityonlineservice registrar,neutral,registrar,No recommendation
,2022-07-12 18:23:20+00:00,kind delay processes newerauniversityonlineservice registrar,neutral,registrar,No recommendation
,2022-07-12 18:21:33+00:00,convenient dont go school physically newerauniversityonlineservice registrar,neutral,registrar,No recommendation
,2022-07-12 17:32:19+00:00,solve problem quickly communicate well newerauniversityonlineservice registrar,positive,registrar,Great job with the registrar service!
,2022-07-12 18:43:13+00:00,good newerauniversityonlineservice learningplatform,positive,LearningPlatform,Great job on the Learning Platform!
,2022-07-12 18:23:48+00:00,registrar online services okay little bit slow answering processing requirements,positive,registrar,Great job with the registrar service!
,2022-07-12 18:44:42+00:00,quite good lacking aspects much big dealnewerauniversityonlineservice learningplatform,positive,LearningPlatform,Great job on the Learning Platform!
,2022-07-12 18:21:44+00:00,good newerauniversityonlineservice registrar,positive,registrar,Great job with the registrar service!
,2022-07-12 17:36:41+00:00,think good newerauniversityonlineservice registrar,positive,registrar,Great job with the registrar service!
,2022-07-12 17:36:58+00:00,think good newerauniversityonlineservice cashier,positive,cashier,Great job with the cashier service!
,2022-07-12 17:20:41+00:00,good newerauniversityonlineservice cashier,positive,cashier,Great job with the cashier service!
,2022-07-12 17:20:27+00:00,good newerauniversityonlineservice registrar,positive,registrar,Great job with the registrar service!
,2022-07-12 17:37:09+00:00,think good newerauniversityonlineservice learningplatform,positive,LearningPlatform,Great job on the Learning Platform!
Benjamin Alejandro,2023-02-17 07:08:57+00:00,third party derailing good relations bet philippines china amb huang xilian formal launchi,positive,general,Keep up the good work!
,2022-07-12 17:37:33+00:00,hope easier way contacting aside form email sort instant reply,positive,registrar,Great job with the registrar service!
,2022-07-12 17:18:11+00:00,sometimes cashier unresponsive okay newerauniversityonlineservice cashier,positive,cashier,Great job with the cashier service!
,2022-07-12 17:17:59+00:00,okay newerauniversityonlineservice registrar,positive,registrar,Great job with the registrar service!
,2022-07-12 17:37:41+00:00,better moderation enrollment subjects vle automated added person messaging,positive,general,Keep up the good work!
,2022-07-12 17:22:18+00:00,live province school online services help submit requirements without thinking hassle,positive,general,Keep up the good work!
,2022-07-12 18:42:50+00:00,overall good really helpful newerauniversityonlineservice learningplatform,positive,LearningPlatform,Great job on the Learning Platform!
,2022-07-12 17:22:41+00:00,think neuvle well learning platform modules uploaded also take exams,positive,LearningPlatform,Great job on the Learning Platform!
,2022-07-12 17:23:02+00:00,school registrars online service good experience sometimes takes long time,positive,registrar,Great job with the registrar service!
,2022-07-12 17:32:09+00:00,think neus learning platform online services good easy use learning experience,positive,general,Keep up the good work!
,2022-07-12 17:31:59+00:00,think neus cashier online services good process payment easy complicated,positive,cashier,Great job with the cashier service!
,2022-07-12 17:31:55+00:00,think neus registrar online services okay respond fast newerauniversityonlineservice registrar,positive,registrar,Great job with the registrar service!
,2022-07-12 18:36:28+00:00,dont like receipt sending every time payments newerauniversityonlineservice cashier,positive,cashier,Great job with the cashier service!
,2022-07-12 18:36:55+00:00,fair service nice well done newerauniversityonlineservice cashier,positive,cashier,Great job with the cashier service!
,2022-07-12 17:32:48+00:00,affable process encoding subjects lasts 13 business days think good,positive,general,Keep up the good work!
,2022-07-12 17:31:05+00:00,neus learning platform online services great way continue study students especially right,positive,general,Keep up the good work!
,2022-07-12 17:30:54+00:00,process neus cashier online services great especially unlike f2f need line,positive,cashier,Great job with the cashier service!
,2022-07-12 17:30:42+00:00,neus registrar online services takes lot time process takes week wish,positive,registrar,Great job with the registrar service!
,2022-07-12 18:26:45+00:00,good newerauniversityonlineservice cashier,positive,cashier,Great job with the cashier service!
,2022-07-12 18:39:36+00:00,moment already improves lot somehow functioning well compared,positive,general,Keep up the good work!
,2022-07-12 18:24:55+00:00,transferee student theyre responsive also help need newerauniversityonlineservice registrar,positive,registrar,Great job with the registrar service!
,2022-07-12 17:29:48+00:00,great easy used especially pandemic theres lot restriction help lot es,positive,general,Keep up the good work!
,2022-07-12 17:29:36+00:00,neu cashier great response especially reply unhold account newerauniversityonlineservice cashier,positive,cashier,Great job with the cashier service!
,2022-07-12 17:29:09+00:00,really good reply email must wait hour day response,positive,registrar,Great job with the registrar service!
,2022-07-12 18:41:44+00:00,overall good system except overloaded due traffic newerauniversityonlineservice learningplatform,positive,LearningPlatform,Great job on the Learning Platform!
,2022-07-12 17:23:13+00:00,cashiers online service okay services responsive students,positive,cashier,Great job with the cashier service!
,2022-07-12 18:28:27+00:00,neus cashier online experience somehow good im paying tuition balance send,positive,cashier,Great job with the cashier service!
,2022-07-12 18:40:59+00:00,neuvle great learning platform provides notifications upcoming submission announcements could als,positive,general,Keep up the good work!
